"gene","in_lasso","in_rf","importance","log2fc","p_value","score"
"ENSG00000187535",TRUE,TRUE,8.9964408178542,0.49834465654537,5.71286693876814e-88,2881.42789972976
"ENSG00000114126",TRUE,TRUE,9.18016283197083,0.349560373906617,3.27345095862393e-84,2844.03010444296
"ENSG00000100417",TRUE,TRUE,7.77493692862347,-1.05177291071266,5.25839215517282e-82,2820.566407215
"ENSG00000112033",TRUE,TRUE,8.46209218422674,-0.693157964616616,6.34927547072584e-82,2820.43485048567
"ENSG00000138794",TRUE,TRUE,6.83161393678312,0.309371290636462,1.05368918604653e-80,2806.60448870744
"ENSG00000269054",TRUE,TRUE,7.28556231127603,NA,7.16439920244801e-78,2778.73376454259
"ENSG00000196684",TRUE,TRUE,10.0987235751318,0.313907263579736,1.32291601057154e-76,2768.88340084983
"ENSG00000181090",TRUE,TRUE,6.84012987263797,0.138024930757887,6.97768714634936e-77,2768.40301493871
"ENSG00000168807",TRUE,TRUE,8.49240067846704,-2.15356500773166,7.99883582797826e-76,2759.46213284639
"ENSG00000141337",TRUE,TRUE,7.16813055431007,-3.2763220812662,9.26798808491561e-74,2737.49827588649
"ENSG00000203780",TRUE,TRUE,8.50179970337422,NA,6.70861048309359e-73,2730.23547393837
"ENSG00000177694",TRUE,TRUE,7.91256510582371,NA,1.08283232256899e-72,2727.5669529959
"ENSG00000120664",TRUE,TRUE,7.56812461467625,1.45504075228725,1.70194068598935e-69,2695.2586804097
"ENSG00000256061",TRUE,TRUE,5.82985528149179,-2.93197990511941,5.75846459464749e-67,2668.22678827185
"ENSG00000157796",TRUE,TRUE,5.69335085241179,0.369651779111242,2.97822156563571e-64,2640.95378081162
"ENSG00000171282",TRUE,TRUE,9.19069294707367,0.496613852421338,4.28868660318125e-63,2632.86744983484
"ENSG00000183018",TRUE,TRUE,6.09969753282098,0.546105177506857,9.2703199953718e-63,2626.42875027786
"ENSG00000116254",TRUE,TRUE,7.92918706107966,NA,1.83346775385828e-62,2625.29645429905
"ENSG00000196476",FALSE,TRUE,7.20775273064404,0.335502101228354,7.97257612110268e-81,1808.19176598543
"ENSG00000149177",FALSE,TRUE,5.43086929985148,-0.64434682154595,1.57906122850644e-79,1793.4468795977
"ENSG00000184949",FALSE,TRUE,6.83255359951788,NA,1.61504960330902e-78,1784.75069494515
"ENSG00000173011",FALSE,TRUE,5.88176378962492,-0.446303255680116,1.25978726532236e-77,1774.87879165033
"ENSG00000035141",FALSE,TRUE,5.59642246485691,0.136576904524064,1.27728140148166e-77,1774.53355658034
"ENSG00000105072",FALSE,TRUE,8.53131926879899,0.902808267565456,1.43671290302545e-76,1766.9576193473
"ENSG00000197168",FALSE,TRUE,7.12554703257808,NA,4.54821002450828e-76,1760.5471419219
"ENSG00000185198",FALSE,TRUE,6.71555094542161,0.37397165483554,1.52489587797625e-75,1754.88314904082
"ENSG00000074706",TRUE,FALSE,4.05962791656306,-1.38240848959547,8.30781300658384e-75,1744.86476078844
"ENSG00000110324",FALSE,TRUE,7.01079049254264,-0.529530383101578,1.30691073957284e-73,1735.8483312245
"ENSG00000017260",FALSE,TRUE,6.72610517479034,0.168450135121324,1.95708700882325e-73,1733.81000383384
"ENSG00000122484",FALSE,TRUE,6.55298614205471,0.263696574479807,3.31703780991576e-73,1731.34548192266
"ENSG00000269996",FALSE,TRUE,6.56499803284898,-0.330527438460345,8.51036222065306e-73,1727.26551758232
"ENSG00000081177",FALSE,TRUE,6.00553183182298,0.382147463698796,1.24654511405756e-71,1715.04845182387
"ENSG00000185219",TRUE,FALSE,4.85936072822825,0.229606668556682,1.02468333480943e-71,1714.75346399814
"ENSG00000228274",TRUE,FALSE,4.98088204592217,NA,4.58495356965506e-71,1708.36753262524
"ENSG00000062282",FALSE,TRUE,5.89514173481346,-2.7808906126489,8.1748334000577e-71,1706.77035262812
"ENSG00000260467",FALSE,TRUE,7.21969524656936,NA,2.24869914337023e-70,1703.70038170206
"ENSG00000153944",FALSE,TRUE,5.81064474307556,0.411180351966977,2.06434749583394e-70,1702.66281669521
"ENSG00000088882",FALSE,TRUE,5.91185112917181,0.4575878256729,2.748382631064e-70,1701.52107917648
"ENSG00000106665",FALSE,TRUE,5.96576511969654,0.405764158288894,6.10591516468071e-70,1698.10825746034
"ENSG00000163486",FALSE,TRUE,5.77710279143254,-0.366902661385923,1.15310542837542e-69,1695.15841262509
"ENSG00000103037",TRUE,FALSE,4.37208433157626,0.28570262458186,3.3574241260097e-69,1689.1120222627
"ENSG00000108932",FALSE,TRUE,5.41428687262107,-3.02142361663453,4.48816544927933e-69,1688.89359829124
"ENSG00000140688",TRUE,FALSE,4.67795639165157,0.165199798403679,1.53507846105291e-68,1682.8166506109
"ENSG00000123104",FALSE,TRUE,6.68117792853897,0.25752127066752,2.71693106119075e-68,1682.34039173989
"ENSG00000197081",TRUE,FALSE,4.19697024713727,-0.533062832145033,2.68197190192684e-68,1679.91242801124
"ENSG00000115425",FALSE,TRUE,5.94620914536664,-3.01263794843488,3.37919938173459e-67,1670.65807097478
"ENSG00000130783",TRUE,FALSE,4.60805282994493,1.08911630782408,1.05203084493252e-66,1664.38776809728
"ENSG00000133142",FALSE,TRUE,5.71050273099757,0.25770221175684,1.78930857302307e-66,1663.1836503035
"ENSG00000197471",FALSE,TRUE,6.67038081417944,0.199040697812247,6.22645425145855e-66,1658.72797279928
"ENSG00000273084",FALSE,TRUE,5.53111729860792,0.776360423607785,1.9608052179401e-65,1652.60677275905
